,fecha,SO2,NO2,CO,O3,PM10,PM2.5
38,2017-02-08,0.0075599999999999,0.05932,1.172,0.0249999999999999,83.68,52.0
39,2017-02-09,0.0058799999999999,0.0252399999999999,0.528,0.03336,72.56,29.72
40,2017-02-10,0.0051999999999999,0.0228799999999999,0.476,0.0335999999999999,42.04,22.92
41,2017-02-11,0.0048399999999999,0.0325599999999999,0.532,0.0336399999999999,39.48,23.76
42,2017-02-12,0.0068399999999999,0.0521999999999999,0.868,0.0355199999999999,42.84,27.72
43,2017-02-13,0.0079599999999999,0.06652,1.3119999999999998,0.0212799999999999,62.32,42.84
44,2017-02-14,0.0076399999999999,0.05916,0.952,0.03736,68.24,42.36
45,2017-02-15,0.0121599999999999,0.08324,1.524,0.0239199999999999,93.08,65.64
46,2017-02-16,0.0091999999999999,0.0827199999999999,1.808,0.0338799999999999,100.52,73.8
47,2017-02-17,0.0046,0.0250799999999999,0.5720000000000001,0.0365199999999999,82.28,29.48
48,2017-02-18,0.0055999999999999,0.04044,0.684,0.0384799999999999,44.92,29.72
49,2017-02-19,0.0057999999999999,0.0481599999999999,0.8640000000000001,0.0351599999999999,59.44,36.84
50,2017-02-20,0.0047199999999999,0.0361199999999999,0.64,0.0399999999999999,88.4,32.64
51,2017-02-21,0.0077999999999999,0.0711199999999999,1.108,0.0331199999999999,80.64,52.88
52,2017-02-22,0.0057999999999999,0.0617199999999999,1.0759999999999998,0.0275199999999999,62.08,45.12
53,2017-02-23,0.0050799999999999,0.0278799999999999,0.616,0.0406399999999999,54.04,38.92
54,2017-02-24,0.0071999999999999,0.05488,0.7559999999999999,0.0364399999999999,45.92,31.28
55,2017-02-25,0.0078799999999999,0.0577199999999999,1.116,0.0367999999999999,73.64,51.36
56,2017-02-26,0.0069999999999999,0.0501599999999999,1.0,0.0419999999999999,74.36,51.56
57,2017-02-27,0.0063999999999999,0.0617999999999999,1.124,0.0397599999999999,59.48,36.76
58,2017-02-28,0.0093199999999999,0.06764,1.064,0.0436399999999999,59.48,39.8
59,2017-03-01,0.0092799999999999,0.0662,0.992,0.05104,81.48,59.68
60,2017-03-02,0.0046399999999999,0.0330399999999999,0.572,0.0446249999999999,57.96,47.4
61,2017-03-03,0.0071199999999999,0.0616399999999999,0.884,0.0409199999999999,62.84,35.8
62,2017-03-04,0.0075999999999999,0.06364,1.128,0.0329199999999999,73.2,48.44
63,2017-03-05,0.0058399999999999,0.0596,0.996,0.0555599999999999,94.16,70.72
64,2017-03-06,0.0051999999999999,0.0281999999999999,0.556,0.0414166666666666,67.88,54.44
65,2017-03-07,0.0046399999999999,0.0252399999999999,0.4639999999999999,0.0406799999999999,44.16,27.92
66,2017-03-08,0.0056249999999999,0.0503199999999999,0.68,0.0391599999999999,67.64,33.0
67,2017-03-09,0.0071666666666666,0.0578799999999999,0.7879999999999999,0.0417599999999999,62.28,29.04
68,2017-03-10,0.0069166666666666,0.0658,0.8759999999999999,0.0457199999999999,59.88,36.8
69,2017-03-11,0.0118399999999999,0.0847199999999999,1.1,0.0538333333333333,101.08,73.56
70,2017-03-12,0.0103999999999999,0.0856799999999999,1.244,0.0719583333333333,122.32,90.04
71,2017-03-13,0.0050799999999999,0.0405599999999999,0.6639999999999999,0.0487199999999999,88.92,69.8
72,2017-03-14,0.0056799999999999,0.0438,0.6679999999999999,0.0484399999999999,61.56,39.4
73,2017-03-15,0.0054799999999999,0.0609199999999999,0.696,0.04356,57.08,37.56
74,2017-03-16,0.0077999999999999,0.06976,0.98,0.0551599999999999,89.04,64.4
75,2017-03-17,0.0075199999999999,0.07928,1.044,0.0567199999999999,109.48,81.76
76,2017-03-18,0.0146399999999999,0.0834,1.016,0.06284,121.16,88.36
77,2017-03-19,0.0070399999999999,0.07048,1.028,0.06416,102.48,74.6
78,2017-03-20,0.0098,0.08596,1.144,0.0257199999999999,158.88,128.04
79,2017-03-21,0.0111599999999999,0.06688,0.908,0.0510399999999999,158.08,121.68
80,2017-03-22,0.0068749999999999,0.0615416666666666,0.7958333333333334,0.0514999999999999,69.95833333333333,41.29166666666666
81,2017-03-23,0.0077999999999999,0.06812,0.888,0.05932,100.70833333333331,60.66666666666666
82,2017-03-24,0.0061599999999999,0.06768,0.772,0.0380799999999999,89.25,56.458333333333336
83,2017-03-25,0.0080799999999999,0.06828,0.852,0.05012,97.95833333333331,65.375
84,2017-03-26,0.0089599999999999,0.0507999999999999,0.6679999999999999,0.0537599999999999,84.25,60.29166666666666
85,2017-03-27,0.0063599999999999,0.0599599999999999,1.112,0.0521199999999999,97.92,74.56
