fecha,estacion,latitud,longitud,PM25
2021-10-22,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_312,11.1520483,-72.605673,13.79
2021-10-25,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_311,11.1520483,-72.605673,13.58
2021-10-28,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_310,11.1520483,-72.605673,23.18
2021-10-31,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_309,11.1520483,-72.605673,17.27
2021-11-03,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_308,11.1520483,-72.605673,13.1
2021-11-06,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_307,11.1520483,-72.605673,9.97
2021-11-09,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_306,11.1520483,-72.605673,15.13
2021-11-12,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_305,11.1520483,-72.605673,12.74
2021-11-15,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_304,11.1520483,-72.605673,5.55
2021-11-18,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_303,11.1520483,-72.605673,12.38
2021-11-21,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_302,11.1520483,-72.605673,5.5
2021-11-24,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_301,11.1520483,-72.605673,8.61
2021-11-27,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_300,11.1520483,-72.605673,10.33
2021-11-30,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_299,11.1520483,-72.605673,14.95
2021-12-03,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_298,11.1520483,-72.605673,11.74
2021-12-06,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_297,11.1520483,-72.605673,13.45
2021-12-09,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_296,11.1520483,-72.605673,12.69
2021-12-12,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_295,11.1520483,-72.605673,7.17
2021-12-15,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_294,11.1520483,-72.605673,10.58
2021-12-18,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_293,11.1520483,-72.605673,13.52
2021-12-21,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_292,11.1520483,-72.605673,14.83
2021-12-24,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_291,11.1520483,-72.605673,13.22
2021-12-27,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_290,11.1520483,-72.605673,9.75
